Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:34:52.749, zfkd_, 75000, 0.0, 3, -1, -1, -1, -1, -1, 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:52.85, zfkd_, 75000, 0.0, 4, -1, -1, -1, -1, -1, 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:53.476, zfkd_, 100000, 0.0, 0, -1, -1, -1, -1, -1, 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:53.634, zfkd_, 100000, 0.0, 1, -1, -1, -1, -1, -1, 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:53.714, zfkd_, 100000, 0.0, 2, -1, -1, -1, -1, -1, 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:53.773, zfkd_, 100000, 0.0, 3, -1, -1, -1, -1, -1, 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:53.927, zfkd_, 100000, 0.0, 4, -1, -1, -1, -1, -1, 9.3E-4, 3.6859565057132326E-4, 0.027777777777777776, 1075, 2713, 93, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:55.1, zfkd_, 200000, 0.0, 0, -1, -1, -1, -1, -1, 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:55.214, zfkd_, 200000, 0.0, 1, -1, -1, -1, -1, -1, 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:55.73, zfkd_, 200000, 0.0, 2, -1, -1, -1, -1, -1, 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:56.068, zfkd_, 200000, 0.0, 3, -1, -1, -1, -1, -1, 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:56.433, zfkd_, 200000, 0.0, 4, -1, -1, -1, -1, -1, 4.65E-4, 1.802451333813987E-4, 0.015625, 2150, 5548, 93, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
